client;feature
android-outlook;html-input-button
android-outlook;html-input-checkbox
android-outlook;html-input-color
android-outlook;html-input-date
android-outlook;html-input-datetime
android-outlook;html-input-datetime-local
android-outlook;html-input-email
android-outlook;html-input-file
android-outlook;html-input-month
android-outlook;html-input-number
android-outlook;html-input-password
android-outlook;html-input-radio
android-outlook;html-input-range
android-outlook;html-input-reset
android-outlook;html-input-search
android-outlook;html-input-submit
android-outlook;html-input-tel
android-outlook;html-input-text
android-outlook;html-input-url
android-outlook;html-input-week
android-outlook;html-ins
android-outlook;html-kbd
android-outlook;html-label
android-outlook;html-legend
android-outlook;html-li
android-outlook;html-mark
android-outlook;html-meter
android-outlook;html-ol-1
android-outlook;html-ol-A
android-outlook;html-ol-I
android-outlook;html-ol-a
android-outlook;html-ol-i
android-outlook;html-optgroup
android-outlook;html-option
android-outlook;html-p
android-outlook;html-pre
android-outlook;html-q
android-outlook;html-s
android-outlook;html-samp
android-outlook;html-section
android-outlook;html-select
android-outlook;html-small
android-outlook;html-strong
android-outlook;html-sub
android-outlook;html-sup
android-outlook;html-table
android-outlook;html-tbody
android-outlook;html-td
android-outlook;html-textarea
android-outlook;html-tfoot
android-outlook;html-th
android-outlook;html-thead
android-outlook;html-time
android-outlook;html-tr
android-outlook;html-u
android-outlook;html-ul
android-outlook;html-var
android-outlook;html-video
android-outlook;media-any-hover-body
android-outlook;media-any-hover-head
android-outlook;media-any-pointer-body
android-outlook;media-aspect-ratio-body
android-outlook;media-color-body
android-outlook;media-color-gamut-body
android-outlook;media-color-gamut-head
android-outlook;media-color-head
android-outlook;media-device-height-body
android-outlook;media-device-height-head
android-outlook;media-device-width-body
android-outlook;media-device-width-head
android-outlook;media-display-mode-body
android-outlook;media-display-mode-head
android-outlook;media-dynamic-range-body
android-outlook;media-dynamic-range-head
android-outlook;media-forced-colors-body
android-outlook;media-forced-colors-head
android-outlook;media-grid-body
android-outlook;media-grid-head
android-outlook;media-height-body
android-outlook;media-height-head
android-outlook;media-hover-body
android-outlook;media-hover-head
android-outlook;media-monochrome-body
android-outlook;media-monochrome-head
android-outlook;media-orientation-body
android-outlook;media-orientation-head
android-outlook;media-overflow-block-body
android-outlook;media-overflow-block-head
android-outlook;media-overflow-inline-body
android-outlook;media-overflow-inline-head
android-outlook;media-pointer-body
android-outlook;media-pointer-head
